FAMILY CODE,ICD Code
0610-027-04A-01032,K27.0
0610-027-04A-01014,K27.0
0610-075-04A-0101E,K27.0
0610-027-04A-0101E,K27.0
0610-027-04A-013E8,K27.0
0610-027-04A-021F4,K27.0
0610-074-04A-04001,K27.0
0610-094-04A-01010,K27.0
0610-027-04A-023E8,K27.0
0610-075-04A-03028,K27.0
0610-075-04A-030FA,K27.0
0610-075-04A-020F0,K27.0
0610-075-04A-023E8,K27.0
0610-075-04A-010FA,K27.0
0610-075-04A-013E8,K27.0
0610-075-04A-0301E,K27.0
0610-075-04A-0201E,K27.0
0610-075-04A-02064,K27.0
0610-075-04A-03064,K27.0
0610-006-04A-02032,K27.0
0610-019-04A-03014,K27.0
0610-00B-04A-01032,K27.0
0610-00B-04A-01018,K27.0
0610-094-04A-01020,K27.0
0610-027-04A-0301E,K27.0
0610-072-04A-05014,K27.0
0610-0F0-04A-01018,K27.0
0610-075-04A-02078,K27.0
0610-019-04A-0301E,K27.0
0610-061-04A-02014,K27.0
0610-075-04A-0200F,K27.0
0610-0A3-04A-09001,K27.0
0610-024-04A-0301E,K27.0
0610-0D2-04A-04001,K27.0
0610-061-04A-0301E,K27.0
0610-006-04A-02014,K27.0
0610-066-033-12004,K27.1
0610-064-035-18001,K27.1
0610-066-033-20005,K27.1
0610-064-033-21014,K27.1
0610-064-033-18001,K27.1
0610-075-04A-02018,K27.1
0610-075-04A-01018,K27.1
0610-075-04A-020FA,K27.1
0610-075-04A-011F4,K27.1
0610-075-04A-01019,K27.1
0610-075-04A-01064,K27.1
0610-075-04A-03014,K27.1
0610-075-04A-021F4,K27.1
0610-075-04A-02014,K27.1
0610-075-04A-01014,K27.1
0610-075-04A-031F4,K27.1
0610-027-04A-03014,K27.1
0610-06F-04A-04001,K27.1
0610-027-04A-02014,K27.1
0610-091-04A-0701E,K27.1
0610-027-04A-0201E,K27.1
0610-027-04A-02032,K27.1
0610-0F2-04A-04001,K27.1
0610-027-04A-03032,K27.1
0610-027-04A-01032,K27.1
0610-027-04A-01014,K27.1
0610-075-04A-0101E,K27.1
0610-027-04A-0101E,K27.1
0610-027-04A-013E8,K27.1
0610-027-04A-021F4,K27.1
0610-074-04A-04001,K27.1
0610-094-04A-01010,K27.1
0610-027-04A-023E8,K27.1
0610-075-04A-03028,K27.1
0610-075-04A-030FA,K27.1
0610-075-04A-020F0,K27.1
0610-075-04A-023E8,K27.1
0610-075-04A-010FA,K27.1
0610-075-04A-013E8,K27.1
0610-075-04A-0301E,K27.1
0610-075-04A-0201E,K27.1
0610-075-04A-02064,K27.1
0610-075-04A-03064,K27.1
0610-006-04A-02032,K27.1
0610-019-04A-03014,K27.1
0610-00B-04A-01032,K27.1
0610-00B-04A-01018,K27.1
0610-094-04A-01020,K27.1
0610-027-04A-0301E,K27.1
0610-072-04A-05014,K27.1
0610-0F0-04A-01018,K27.1
0610-075-04A-02078,K27.1
0610-019-04A-0301E,K27.1
0610-061-04A-02014,K27.1
0610-075-04A-0200F,K27.1
0610-0A3-04A-09001,K27.1
0610-024-04A-0301E,K27.1
0610-0D2-04A-04001,K27.1
0610-061-04A-0301E,K27.1
0610-006-04A-02014,K27.1
0610-066-033-12004,K27.4
0610-064-035-18001,K27.4
0610-066-033-20005,K27.4
0610-064-033-21014,K27.4
0610-064-033-18001,K27.4
0610-075-04A-02018,K27.4
0610-075-04A-01018,K27.4
0610-075-04A-020FA,K27.4
0610-075-04A-011F4,K27.4
0610-075-04A-01019,K27.4
0610-075-04A-01064,K27.4
0610-075-04A-03014,K27.4
0610-075-04A-021F4,K27.4
0610-075-04A-02014,K27.4
0610-075-04A-01014,K27.4
0610-075-04A-031F4,K27.4
0610-027-04A-03014,K27.4
0610-06F-04A-04001,K27.4
0610-027-04A-02014,K27.4
0610-091-04A-0701E,K27.4
0610-027-04A-0201E,K27.4
0610-027-04A-02032,K27.4
0610-0F2-04A-04001,K27.4
0610-027-04A-03032,K27.4
0610-027-04A-01032,K27.4
0610-027-04A-01014,K27.4
0610-075-04A-0101E,K27.4
0610-027-04A-0101E,K27.4
0610-027-04A-013E8,K27.4
0610-027-04A-021F4,K27.4
0610-074-04A-04001,K27.4
0610-094-04A-01010,K27.4
0610-027-04A-023E8,K27.4
0610-075-04A-03028,K27.4
0610-075-04A-030FA,K27.4
0610-075-04A-020F0,K27.4
0610-075-04A-023E8,K27.4
0610-075-04A-010FA,K27.4
0610-075-04A-013E8,K27.4
0610-075-04A-0301E,K27.4
0610-075-04A-0201E,K27.4
0610-075-04A-02064,K27.4
0610-075-04A-03064,K27.4
0610-006-04A-02032,K27.4
0610-019-04A-03014,K27.4
0610-00B-04A-01032,K27.4
0610-00B-04A-01018,K27.4
0610-094-04A-01020,K27.4
0610-027-04A-0301E,K27.4
0610-072-04A-05014,K27.4
0610-0F0-04A-01018,K27.4
0610-075-04A-02078,K27.4
0610-019-04A-0301E,K27.4
0610-061-04A-02014,K27.4
0610-075-04A-0200F,K27.4
0610-0A3-04A-09001,K27.4
0610-024-04A-0301E,K27.4
0610-0D2-04A-04001,K27.4
0610-061-04A-0301E,K27.4
0610-006-04A-02014,K27.4
0610-066-033-12004,K27.5
0610-064-035-18001,K27.5
0610-066-033-20005,K27.5
0610-064-033-21014,K27.5
0610-064-033-18001,K27.5
0610-075-04A-02018,K27.5
0610-075-04A-01018,K27.5
0610-075-04A-020FA,K27.5
0610-075-04A-011F4,K27.5
0610-075-04A-01019,K27.5
0610-075-04A-01064,K27.5
0610-075-04A-03014,K27.5
0610-075-04A-021F4,K27.5
0610-075-04A-02014,K27.5
0610-075-04A-01014,K27.5
0610-075-04A-031F4,K27.5
0610-027-04A-03014,K27.5
0610-06F-04A-04001,K27.5
0610-027-04A-02014,K27.5
0610-091-04A-0701E,K27.5
0610-027-04A-0201E,K27.5
0610-027-04A-02032,K27.5
0610-0F2-04A-04001,K27.5
0610-027-04A-03032,K27.5
0610-027-04A-01032,K27.5
0610-027-04A-01014,K27.5
0610-075-04A-0101E,K27.5
0610-027-04A-0101E,K27.5
0610-027-04A-013E8,K27.5
0610-027-04A-021F4,K27.5
0610-074-04A-04001,K27.5
0610-094-04A-01010,K27.5
0610-027-04A-023E8,K27.5
0610-075-04A-03028,K27.5
0610-075-04A-030FA,K27.5
0610-075-04A-020F0,K27.5
0610-075-04A-023E8,K27.5
0610-075-04A-010FA,K27.5
0610-075-04A-013E8,K27.5
0610-075-04A-0301E,K27.5
0610-075-04A-0201E,K27.5
0610-075-04A-02064,K27.5
0610-075-04A-03064,K27.5
0610-006-04A-02032,K27.5
0610-019-04A-03014,K27.5
0610-00B-04A-01032,K27.5
0610-00B-04A-01018,K27.5
0610-094-04A-01020,K27.5
0610-027-04A-0301E,K27.5
0610-072-04A-05014,K27.5
0610-0F0-04A-01018,K27.5
0610-075-04A-02078,K27.5
0610-019-04A-0301E,K27.5
0610-061-04A-02014,K27.5
0610-075-04A-0200F,K27.5
0610-0A3-04A-09001,K27.5
0610-024-04A-0301E,K27.5
0610-0D2-04A-04001,K27.5
0610-061-04A-0301E,K27.5
0610-006-04A-02014,K27.5
0610-066-033-12004,K27.7
0610-064-035-18001,K27.7
0610-066-033-20005,K27.7
0610-064-033-21014,K27.7
0610-064-033-18001,K27.7
0610-075-04A-02018,K27.7
0610-075-04A-01018,K27.7
0610-075-04A-020FA,K27.7
0610-075-04A-011F4,K27.7
0610-075-04A-01019,K27.7
0610-075-04A-01064,K27.7
0610-075-04A-03014,K27.7
0610-075-04A-021F4,K27.7
0610-075-04A-02014,K27.7
0610-075-04A-01014,K27.7
0610-075-04A-031F4,K27.7
0610-027-04A-03014,K27.7
0610-06F-04A-04001,K27.7
